liquid,pipette,volume,aspiration_rate,dispense_rate,%error,time_asp_1000,acq_value
Viscosity_std_204,p1000,1000,95.38141797,95.38141797,-5.683528186,30.96844482,
Viscosity_std_204,p1000,500,95.38141797,95.38141797,-5.035305012,30.96844482,
Viscosity_std_204,p1000,300,95.38141797,95.38141797,-3.461048732,30.96844482,
Viscosity_std_204,p1000,"mean[300, 500, 1000]",95.38141797,95.38141797,-4.72662731,30.96844482,
Viscosity_std_204,p1000,1000,119.2267725,119.2267725,-11.08924644,26.77475586,
Viscosity_std_204,p1000,500,119.2267725,119.2267725,-9.665470541,26.77475586,
Viscosity_std_204,p1000,300,119.2267725,119.2267725,-5.428869082,26.77475586,
Viscosity_std_204,p1000,"mean[300, 500, 1000]",119.2267725,119.2267725,-8.727862021,26.77475586,
Viscosity_std_204,p1000,1000,119.2267725,9.538141797,2.141451557,123.2296021,
Viscosity_std_204,p1000,500,119.2267725,9.538141797,2.257205695,123.2296021,
Viscosity_std_204,p1000,300,119.2267725,9.538141797,3.870046688,123.2296021,
Viscosity_std_204,p1000,"mean[300, 500, 1000]",119.2267725,9.538141797,-2.756234646,123.2296021,
Viscosity_std_204,p1000,1000,9.538141797,119.2267725,-11.43650886,123.2296021,
Viscosity_std_204,p1000,500,9.538141797,119.2267725,-8.345873365,123.2296021,
Viscosity_std_204,p1000,300,9.538141797,119.2267725,-2.882278041,123.2296021,
Viscosity_std_204,p1000,"mean[300, 500, 1000]",9.538141797,119.2267725,-7.554886754,123.2296021,
Viscosity_std_204,p1000,1000,9.538141797,9.538141797,1.898367867,219.6844482,
Viscosity_std_204,p1000,500,9.538141797,9.538141797,5.197360806,219.6844482,
Viscosity_std_204,p1000,300,9.538141797,9.538141797,3.831461975,219.6844482,
Viscosity_std_204,p1000,"mean[300, 500, 1000]",9.538141797,9.538141797,-3.642396882,219.6844482,
Viscosity_std_204,p1000,1000,96.86393509,46.74900027,-7.350388,41.71459157,59.37738
Viscosity_std_204,p1000,500,96.86393509,46.74900027,-5.081607,41.71459157,59.37738
Viscosity_std_204,p1000,300,96.86393509,46.74900027,-1.647567,41.71459157,59.37738
Viscosity_std_204,p1000,"mean[300, 500, 1000]",96.86393509,46.74900027,-4.693187333,41.71459157,59.37738
Viscosity_std_204,p1000,1000,88.48181334,16.41177224,-0.219933,82.23362921,37.713354
Viscosity_std_204,p1000,500,88.48181334,16.41177224,1.655284,82.23362921,37.713354
Viscosity_std_204,p1000,300,88.48181334,16.41177224,5.760698,82.23362921,37.713354
Viscosity_std_204,p1000,"mean[300, 500, 1000]",88.48181334,16.41177224,-2.545305,82.23362921,37.713354
Viscosity_std_204,p1000,1000,71.5911906,13.99161114,0.740826,95.43959645,29.321584
Viscosity_std_204,p1000,500,71.5911906,13.99161114,3.993518,95.43959645,29.321584
Viscosity_std_204,p1000,300,71.5911906,13.99161114,5.722113,95.43959645,29.321584
Viscosity_std_204,p1000,"mean[300, 500, 1000]",71.5911906,13.99161114,-3.485485667,95.43959645,29.321584
Viscosity_std_204,p1000,1000,101.3825932,26.16968838,-2.014122,58.07577396,30.755655
Viscosity_std_204,p1000,500,101.3825932,26.16968838,1.562681,58.07577396,30.755655
Viscosity_std_204,p1000,300,101.3825932,26.16968838,2.712505,58.07577396,30.755655
Viscosity_std_204,p1000,"mean[300, 500, 1000]",101.3825932,26.16968838,-2.096436,58.07577396,30.755655
Viscosity_std_204,p1000,1000,105.2618546,22.65554048,-1.192268,63.63943096,34.334311
Viscosity_std_204,p1000,500,105.2618546,22.65554048,1.863642,63.63943096,34.334311
Viscosity_std_204,p1000,300,105.2618546,22.65554048,2.210904,63.63943096,34.334311
Viscosity_std_204,p1000,"mean[300, 500, 1000]",105.2618546,22.65554048,-1.755604667,63.63943096,34.334311
