liquid,pipette,volume,aspiration_rate,dispense_rate,density,m,%error,time_asp_1000,acq_value
Viscosity_std_505,rLine1000,1000,68.11997257,68.11997257,0.8683,0.73598845,-15.23799952,49.35996485,None
Viscosity_std_505,rLine1000,500,68.11997257,68.11997257,0.8683,0.375119514,-13.59679508,49.35996485,None
Viscosity_std_505,rLine1000,300,68.11997257,68.11997257,0.8683,0.235163682,-9.722568094,49.35996485,None
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",68.11997257,68.11997257,0.8683,0.73598845,-12.85245423,49.35996485,None
Viscosity_std_505,rLine1000,1000,85.14996571,85.14996571,0.8683,0.668378345,-23.02449096,43.48797188,None
Viscosity_std_505,rLine1000,500,85.14996571,85.14996571,0.8683,0.391716046,-9.774030538,43.48797188,None
Viscosity_std_505,rLine1000,300,85.14996571,85.14996571,0.8683,0.23946217,-8.07241366,43.48797188,None
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",85.14996571,85.14996571,0.8683,0.668378345,-13.62364505,43.48797188,None
Viscosity_std_505,rLine1000,1000,85.14996571,6.811997257,0.8683,0.861431423,-0.791037298,178.5438102,None
Viscosity_std_505,rLine1000,500,85.14996571,6.811997257,0.8683,0.428726751,-1.249164919,178.5438102,None
Viscosity_std_505,rLine1000,300,85.14996571,6.811997257,0.8683,0.254834726,-2.171013904,178.5438102,None
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",85.14996571,6.811997257,0.8683,0.861431423,-1.403738707,178.5438102,None
Viscosity_std_505,rLine1000,500,6.811997257,85.14996571,0.8683,0.429222169,-1.135052544,178.5438102,None
Viscosity_std_505,rLine1000,300,6.811997257,85.14996571,0.8683,0.251585361,-3.418418782,178.5438102,None
Viscosity_std_505,rLine1000,1000,6.811997257,85.14996571,0.8683,0.679160991,-21.78267982,178.5438102,None
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",6.811997257,85.14996571,0.8683,0.429222169,-8.77871705,178.5438102,None
Viscosity_std_505,rLine1000,1000,6.811997257,6.811997257,0.8683,0.848404821,-2.291279397,313.5996485,None
Viscosity_std_505,rLine1000,500,6.811997257,6.811997257,0.8683,0.431218416,-0.6752468,313.5996485,None
Viscosity_std_505,rLine1000,300,6.811997257,6.811997257,0.8683,0.257326391,-1.214483707,313.5996485,None
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",6.811997257,6.811997257,0.8683,0.848404821,-1.393669968,313.5996485,None
Viscosity_std_505,rLine1000,1000,61.33495259,8.013843991,0.8683,0.8480114,-2.336588722,161.0879787,127.7323656
Viscosity_std_505,rLine1000,300,61.33495259,8.013843991,0.8683,0.247811435,-4.867198437,161.0879787,127.7323656
Viscosity_std_505,rLine1000,500,61.33495259,8.013843991,0.8683,0.42821676,-1.366633539,161.0879787,127.7323656
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",61.33495259,8.013843991,0.8683,0.8480114,-2.8568069,161.0879787,127.7323656
Viscosity_std_505,rLine1000,1000,79.89641863,28.18217667,0.8683,0.834984798,-3.836830821,67.99962517,60.5733374
Viscosity_std_505,rLine1000,500,79.89641863,28.18217667,0.8683,0.403270963,-7.112527216,67.99962517,60.5733374
Viscosity_std_505,rLine1000,300,79.89641863,28.18217667,0.8683,0.239651595,-7.99969499,67.99962517,60.5733374
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",79.89641863,28.18217667,0.8683,0.834984798,-6.316351009,67.99962517,60.5733374
Viscosity_std_505,rLine1000,1000,33.49425847,16.79036743,0.8683,0.848069685,-2.329876229,109.4138214,28.22060184
Viscosity_std_505,rLine1000,500,33.49425847,16.79036743,0.8683,0.42056691,-3.12866285,109.4138214,28.22060184
Viscosity_std_505,rLine1000,300,33.49425847,16.79036743,0.8683,0.249472545,-4.229511639,109.4138214,28.22060184
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",33.49425847,16.79036743,0.8683,0.848069685,-3.22935024,109.4138214,28.22060184
Viscosity_std_505,rLine1000,1000,8.813362096,37.84028937,0.8683,0.794637302,-8.483553833,159.8909367,21.32983029
Viscosity_std_505,rLine1000,500,8.813362096,37.84028937,0.8683,0.423422854,-2.470838574,159.8909367,21.32983029
Viscosity_std_505,rLine1000,300,8.813362096,37.84028937,0.8683,0.248204856,-4.716167353,159.8909367,21.32983029
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",8.813362096,37.84028937,0.8683,0.794637302,-5.22351992,159.8909367,21.32983029
Viscosity_std_505,rLine1000,1000,43.18305115,7.278615748,0.8683,0.854247849,-1.618352012,180.5459946,14.48075431
Viscosity_std_505,rLine1000,500,43.18305115,7.278615748,0.8683,0.42642451,-1.779451835,180.5459946,14.48075431
Viscosity_std_505,rLine1000,300,43.18305115,7.278615748,0.8683,0.255344716,-1.97523287,180.5459946,14.48075431
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",43.18305115,7.278615748,0.8683,0.854247849,-1.791012239,180.5459946,14.48075431
