liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,touch_tip_aspirate,touch_tip_dispense,density,time,mi,mf,m,%error,Transfer_Observation,Comment
Viscosity_std_1275,p1000,1000,36.68593297,36.68593297,0,5,5,0,TRUE,FALSE,0.8736,70.65681887,20.3158,20.9709,0.6551,-25.01144689,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,500,36.68593297,36.68593297,0,5,5,0,TRUE,FALSE,0.8736,43.31606054,20.9709,21.2424,0.2715,-37.84340659,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,300,36.68593297,36.68593297,0,5,5,0,TRUE,FALSE,0.8736,32.46133065,21.2424,21.3946,0.1522,-41.92612943,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000,45.85741621,45.85741621,0,5,5,0,TRUE,FALSE,0.8736,59.64183116,21.3946,21.9741,0.5795,-33.66529304,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,500,45.85741625,45.85741625,0,5,5,0,TRUE,FALSE,0.8736,38.30639029,21.9646,22.1244,0.1598,-63.41575092,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,300,45.85741625,45.85741625,0,5,5,0,TRUE,FALSE,0.8736,28.89901519,22.1244,22.2488,0.1244,-52.53357753,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000,45.85741625,3.6685933,0,5,5,0,TRUE,FALSE,0.8736,312.5176582,22.2488,22.9537,0.7049,-19.31089744,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,500,45.85741625,3.6685933,0,5,5,0,TRUE,FALSE,0.8736,164.7576168,22.9537,23.2812,0.3275,-25.02289377,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,300,45.85741625,3.6685933,0,5,5,0,TRUE,FALSE,0.8736,105.8476672,23.2812,23.4765,0.1953,-25.48076923,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000,3.6685933,45.85741625,0,5,5,0,TRUE,FALSE,0.8736,316.7438707,23.4765,24.2079,0.7314,-16.27747253,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,500,3.6685933,45.85741625,0,5,5,0,TRUE,FALSE,0.8736,168.9946659,24.2079,24.549,0.3411,-21.90934066,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,300,3.6685933,45.85741625,0,5,5,0,TRUE,FALSE,0.8736,110.0815098,24.549,24.7378,0.1888,-27.96092796,Incomplete aspiration and dispense,
Viscosity_std_1275,p1000,1000,3.6685933,3.6685933,0,5,5,0,TRUE,FALSE,0.8736,569.7634015,24.7378,25.6384,0.9006,3.090659341,Within tolerance,
Viscosity_std_1275,p1000,500,3.6685933,3.6685933,0,5,5,0,TRUE,FALSE,0.8736,296.1381662,25.6384,26.1082,0.4698,7.554945055,Excess aspiration and dispense,
Viscosity_std_1275,p1000,300,3.6685933,3.6685933,0,5,5,0,TRUE,FALSE,0.8736,187.0452011,26.1082,26.4036,0.2954,12.71367521,Excess aspiration and dispense,
Viscosity_std_1275,p1000,1000,15,5,0,5,5,0,TRUE,FALSE,0.8736,305.1952889,26.4036,27.2512,0.8476,-2.976190476,Within Tolerance,
Viscosity_std_1275,p1000,500,15,5,0,5,5,0,TRUE,FALSE,0.8736,161.5204425,27.2512,27.6643,0.4131,-5.425824176,Incomplete Aspiration and Dispense,
Viscosity_std_1275,p1000,300,15,5,0,5,5,0,TRUE,FALSE,0.8736,104.2686632,27.6643,27.9112,0.2469,-5.792124542,Incomplete Aspiration and Dispense,
Viscosity_std_1275,p1000,1000,10,7,0,5,5,0,TRUE,FALSE,0.8736,268.6405215,27.9112,28.7573,0.8461,-3.147893773,Within Tolerance,
Viscosity_std_1275,p1000,500,10,7,0,5,5,0,TRUE,FALSE,0.8736,142.7953513,22.8988,23.2971,0.3983,-8.814102564,Incomplete Aspiration and Dispense,
Viscosity_std_1275,p1000,300,10,7,0,5,5,0,TRUE,FALSE,0.8736,93.48293424,23.2971,23.5322,0.2351,-10.29456654,Incomplete Aspiration and Dispense,
Viscosity_std_1275,p1000,1000,10,4,0,5,5,0,TRUE,FALSE,0.8736,396.781523,23.5322,24.384,0.8518,-2.495421245,Within Tolerance,
Viscosity_std_1275,p1000,500,10,4,0,5,5,0,TRUE,FALSE,0.8736,207.8820639,24.384,24.7991,0.4151,-4.967948718,Within Tolerance,
Viscosity_std_1275,p1000,300,10,4,0,5,5,0,TRUE,FALSE,0.8736,132.578882,24.7991,25.0382,0.2391,-8.768315018,Incomplete Aspiration and Dispense,
Viscosity_std_1275,p1000,1000,6,4,0,5,5,0,TRUE,FALSE,0.8736,462.3898604,25.0382,25.9046,0.8664,-0.824175824,Within Tolerance,
Viscosity_std_1275,p1000,500,6,4,0,5,5,0,TRUE,FALSE,0.8736,241.3732524,25.9046,26.3375,0.4329,-0.892857143,Within Tolerance,
Viscosity_std_1275,p1000,300,6,4,0,5,5,0,TRUE,FALSE,0.8736,153.2846882,26.3375,26.5974,0.2599,-0.831807082,Within Tolerance,
Viscosity_std_1275,p1000,1000,5,3.6,0,5,5,0,TRUE,FALSE,0.8736,552.4468772,33.3691,34.2633,0.8942,2.358058608,Within Tolerance,
Viscosity_std_1275,p1000,500,5,3.6,0,5,5,0,TRUE,FALSE,0.8736,286.6146562,34.2633,34.7213,0.458,4.853479853,Within Tolerance,
Viscosity_std_1275,p1000,300,5,3.6,0,5,5,0,TRUE,FALSE,0.8736,180.6639695,34.7213,35.0085,0.2872,9.584859585,Excess Aspiration and Dispense,
