liquid,pipette,volume,aspiration_rate,dispense_rate,density,mi,mf,m,%error
Viscosity_std_204,p1000,1000,95.38141797,95.38141797,0.8639,20.312,21.1268,0.8148,-5.683528186
Viscosity_std_204,p1000,500,95.38141797,95.38141797,0.8639,21.1268,21.537,0.4102,-5.035305012
Viscosity_std_204,p1000,300,95.38141797,95.38141797,0.8639,21.537,21.7872,0.2502,-3.461048732
Viscosity_std_204,p1000,1000,119.2267725,119.2267725,0.8639,21.7872,22.5553,0.7681,-11.08924644
Viscosity_std_204,p1000,500,119.2267725,119.2267725,0.8639,22.5553,22.9455,0.3902,-9.665470541
Viscosity_std_204,p1000,300,119.2267725,119.2267725,0.8639,22.9455,23.1906,0.2451,-5.428869082
Viscosity_std_204,p1000,1000,119.2267725,9.538141797,0.8639,23.1906,24.073,0.8824,2.141451557
Viscosity_std_204,p1000,500,119.2267725,9.538141797,0.8639,24.073,24.5147,0.4417,2.257205695
Viscosity_std_204,p1000,300,119.2267725,9.538141797,0.8639,24.5147,24.7839,0.2692,3.870046688
Viscosity_std_204,p1000,1000,9.538141797,119.2267725,0.8639,24.7839,25.549,0.7651,-11.43650886
Viscosity_std_204,p1000,500,9.538141797,119.2267725,0.8639,25.549,25.9449,0.3959,-8.345873365
Viscosity_std_204,p1000,300,9.538141797,119.2267725,0.8639,25.9449,26.1966,0.2517,-2.882278041
Viscosity_std_204,p1000,1000,9.538141797,9.538141797,0.8639,26.1966,27.0769,0.8803,1.898367867
Viscosity_std_204,p1000,500,9.538141797,9.538141797,0.8639,27.0769,27.5313,0.4544,5.197360806
Viscosity_std_204,p1000,300,9.538141797,9.538141797,0.8639,27.5313,27.8004,0.2691,3.831461975
Viscosity_std_204,p1000,1000,110,10,0.8639,28.6819,29.5598,0.8779,1.620557935
Viscosity_std_204,p1000,500,110,10,0.8639,29.5598,30.0018,0.442,2.326658178
Viscosity_std_204,p1000,300,110,10,0.8639,30.0018,30.2712,0.2694,3.947216113
Viscosity_std_204,p1000,1000,100,30,0.8639,21.3152,22.1581,0.8429,-2.430836902
Viscosity_std_204,p1000,500,100,30,0.8639,22.1581,22.5931,0.435,0.706100243
Viscosity_std_204,p1000,300,100,30,0.8639,22.5931,22.8536,0.2605,0.513176679
Viscosity_std_204,p1000,1000,95,45,0.8639,23.6776,24.5135,0.8359,-3.24111587
Viscosity_std_204,p1000,500,95,45,0.8639,25.5673,25.9846,0.4173,-3.39159625
Viscosity_std_204,p1000,300,95,45,0.8639,25.9846,26.2534,0.2688,3.715707837
Viscosity_std_204,p1000,1000,90,60,0.8639,26.2534,27.0969,0.8435,-2.361384419
Viscosity_std_204,p1000,500,90,60,0.8639,27.0969,27.5078,0.4109,-4.873249219
Viscosity_std_204,p1000,300,90,60,0.8639,27.5078,27.7553,0.2475,-4.502835976
Viscosity_std_204,p1000,1000,105,30,0.8639,27.7545,28.6344,0.8799,1.852066211
Viscosity_std_204,p1000,500,105,30,0.8639,28.6344,29.0806,0.4462,3.298992939
Viscosity_std_204,p1000,300,105,30,0.8639,29.0806,29.3437,0.2631,1.516379211
