liquid,pipette,volume,aspiration_rate,dispense_rate,density,m,%error
Viscosity_std_817,p1000,1000,56.70653624,56.70653624,0.8466,0.6887,-18.65107489
Viscosity_std_817,p1000,500,56.70653624,56.70653624,0.8466,0.3118,-26.34065674
Viscosity_std_817,p1000,300,56.70653624,56.70653624,0.8466,0.1641,-35.38861328
Viscosity_std_817,p1000,1000,70.8831703,70.8831703,0.8466,0.5912,-30.16772974
Viscosity_std_817,p1000,500,70.8831703,70.8831703,0.8466,0.2871,-32.17576187
Viscosity_std_817,p1000,300,70.8831703,70.8831703,0.8466,0.1686,-33.61682022
Viscosity_std_817,p1000,1000,70.8831703,5.670653624,0.8466,0.7466,-11.8119537
Viscosity_std_817,p1000,500,70.8831703,5.670653624,0.8466,0.3656,-13.63099457
Viscosity_std_817,p1000,300,70.8831703,5.670653624,0.8466,0.2223,-12.4734231
Viscosity_std_817,p1000,1000,5.670653624,70.8831703,0.8466,0.6971,-17.65887078
Viscosity_std_817,p1000,500,5.670653624,70.8831703,0.8466,0.3709,-12.37892747
Viscosity_std_817,p1000,300,5.670653624,70.8831703,0.8466,0.2079,-18.14316088
Viscosity_std_817,p1000,1000,5.670653624,5.670653624,0.8466,0.8817,4.145995748
Viscosity_std_817,p1000,500,5.670653624,5.670653624,0.8466,0.4505,6.425702811
Viscosity_std_817,p1000,300,5.670653624,5.670653624,0.8466,0.2729,7.449405465
Viscosity_std_817,p1000,1000,50,10,0.8466,0.7681,-9.272383652
Viscosity_std_817,p1000,500,50,10,0.8466,0.3781,-10.67800614
Viscosity_std_817,p1000,300,50,10,0.8466,0.2288,-9.91416647
Viscosity_std_817,p1000,1000,30,7,0.8466,0.8243,-2.634065674
Viscosity_std_817,p1000,500,30,7,0.8466,0.4083,-3.543586109
Viscosity_std_817,p1000,300,30,7,0.8466,0.2322,-8.575478384
Viscosity_std_817,p1000,1000,15,6,0.8466,0.8502,0.425230333
Viscosity_std_817,p1000,500,15,6,0.8466,0.4311,1.842664777
Viscosity_std_817,p1000,300,15,6,0.8466,0.2492,-1.882037956
Viscosity_std_817,p1000,1000,10,5,0.8466,0.863,1.937160406
Viscosity_std_817,p1000,500,10,5,0.8466,0.439,3.708953461
Viscosity_std_817,p1000,300,10,5,0.8466,0.2689,5.874478305
Viscosity_std_817,p1000,1000,12,6,0.8466,0.8547,0.956768249
Viscosity_std_817,p1000,500,12,6,0.8466,0.4355,2.882116702
Viscosity_std_817,p1000,300,12,6,0.8466,0.2664,4.890148831
