liquid,pipette,volume,aspiration_rate,dispense_rate,%error,time_asp_1000,acq_value
Viscosity_std_817,p1000,1000,56.70653624,56.70653624,-18.65107489,45.26930285,
Viscosity_std_817,p1000,500,56.70653624,56.70653624,-26.34065674,45.26930285,
Viscosity_std_817,p1000,300,56.70653624,56.70653624,-35.38861328,45.26930285,
Viscosity_std_817,p1000,"mean[300, 500, 1000]",56.70653624,56.70653624,-26.7934483,45.26930285,
Viscosity_std_817,p1000,1000,70.8831703,70.8831703,-30.16772974,38.21544228,
Viscosity_std_817,p1000,500,70.8831703,70.8831703,-32.17576187,38.21544228,
Viscosity_std_817,p1000,300,70.8831703,70.8831703,-33.61682022,38.21544228,
Viscosity_std_817,p1000,"mean[300, 500, 1000]",70.8831703,70.8831703,-31.98677061,38.21544228,
Viscosity_std_817,p1000,1000,70.8831703,5.670653624,-11.8119537,200.4542354,
Viscosity_std_817,p1000,500,70.8831703,5.670653624,-13.63099457,200.4542354,
Viscosity_std_817,p1000,300,70.8831703,5.670653624,-12.4734231,200.4542354,
Viscosity_std_817,p1000,"mean[300, 500, 1000]",70.8831703,5.670653624,-12.63879046,200.4542354,
Viscosity_std_817,p1000,1000,5.670653624,70.8831703,-17.65887078,200.4542354,
Viscosity_std_817,p1000,500,5.670653624,70.8831703,-12.37892747,200.4542354,
Viscosity_std_817,p1000,300,5.670653624,70.8831703,-18.14316088,200.4542354,
Viscosity_std_817,p1000,"mean[300, 500, 1000]",5.670653624,70.8831703,-16.06031971,200.4542354,
Viscosity_std_817,p1000,1000,5.670653624,5.670653624,4.145995748,362.6930285,
Viscosity_std_817,p1000,500,5.670653624,5.670653624,6.425702811,362.6930285,
Viscosity_std_817,p1000,300,5.670653624,5.670653624,7.449405465,362.6930285,
Viscosity_std_817,p1000,"mean[300, 500, 1000]",5.670653624,5.670653624,-6.007034675,362.6930285,
Viscosity_std_817,p1000,1000,38.67264742,12.56159051,-7.630522,115.4658228,214.09245
Viscosity_std_817,p1000,500,38.67264742,12.56159051,-8.551854,115.4658228,214.09245
Viscosity_std_817,p1000,300,38.67264742,12.56159051,-10.898496,115.4658228,214.09245
Viscosity_std_817,p1000,"mean[300, 500, 1000]",38.67264742,12.56159051,-9.026957333,115.4658228,214.09245
Viscosity_std_817,p1000,1000,25.08048568,24.15270526,-8.540043,91.27486572,196.630885
Viscosity_std_817,p1000,500,25.08048568,24.15270526,-5.315379,91.27486572,196.630885
Viscosity_std_817,p1000,300,25.08048568,24.15270526,-15.505158,91.27486572,196.630885
Viscosity_std_817,p1000,"mean[300, 500, 1000]",25.08048568,24.15270526,-9.78686,91.27486572,196.630885
Viscosity_std_817,p1000,1000,30.13770867,7.552119052,-4.027876,175.5941897,188.344637
Viscosity_std_817,p1000,500,30.13770867,7.552119052,-5.716986,175.5941897,188.344637
Viscosity_std_817,p1000,300,30.13770867,7.552119052,-3.771951,175.5941897,188.344637
Viscosity_std_817,p1000,"mean[300, 500, 1000]",30.13770867,7.552119052,-4.505604333,175.5941897,188.344637
Viscosity_std_817,p1000,1000,28.54084103,6.502511671,-2.811245,198.8242389,94.836809
Viscosity_std_817,p1000,500,28.54084103,6.502511671,-2.433262,198.8242389,94.836809
Viscosity_std_817,p1000,300,28.54084103,6.502511671,-4.165682,198.8242389,94.836809
Viscosity_std_817,p1000,"mean[300, 500, 1000]",28.54084103,6.502511671,-3.136729667,198.8242389,94.836809
Viscosity_std_817,p1000,1000,16.71671507,10.05902808,-3.000236,169.2335483,92.494611
Viscosity_std_817,p1000,500,16.71671507,10.05902808,-5.055516,169.2335483,92.494611
Viscosity_std_817,p1000,300,16.71671507,10.05902808,-1.960784,169.2335483,92.494611
Viscosity_std_817,p1000,"mean[300, 500, 1000]",16.71671507,10.05902808,-3.338845333,169.2335483,92.494611
