liquid,pipette,volume,aspiration_rate,dispense_rate,density,m,%error,time_asp_1000
Viscosity_std_204,rLine1000,1000,127.1307751,127.1307751,0.8639,0.758602865,-12.18857917,35.73183203
Viscosity_std_204,rLine1000,500,127.1307751,127.1307751,0.8639,0.402935827,-6.717021231,35.73183203
Viscosity_std_204,rLine1000,300,127.1307751,127.1307751,0.8639,0.238252765,-8.07085513,35.73183203
Viscosity_std_204,rLine1000,1000,158.9134688,158.9134688,0.8639,0.682424927,-21.00649066,32.58546564
Viscosity_std_204,rLine1000,500,158.9134688,158.9134688,0.8639,0.394673989,-8.62970517,32.58546564
Viscosity_std_204,rLine1000,300,158.9134688,158.9134688,0.8639,0.222603357,-14.10913423,32.58546564
Viscosity_std_204,rLine1000,1000,158.9134688,12.7130775,0.8639,0.84444147,-2.25240537,104.951893
Viscosity_std_204,rLine1000,500,158.9134688,12.7130775,0.8639,0.422155165,-2.267585401,104.951893
Viscosity_std_204,rLine1000,300,158.9134688,12.7130775,0.8639,0.254237309,-1.903264651,104.951893
Viscosity_std_204,rLine1000,1000,12.7130775,158.9134688,0.8639,0.683342909,-20.90023044,104.951893
Viscosity_std_204,rLine1000,500,12.7130775,158.9134688,0.8639,0.375512935,-13.06564764,104.951893
Viscosity_std_204,rLine1000,300,12.7130775,158.9134688,0.8639,0.208819055,-19.42776741,104.951893
Viscosity_std_204,rLine1000,1000,12.7130775,12.7130775,0.8639,0.843902338,-2.314812165,177.3183204
Viscosity_std_204,rLine1000,500,12.7130775,12.7130775,0.8639,0.42859561,-0.776568997,177.3183204
Viscosity_std_204,rLine1000,300,12.7130775,12.7130775,0.8639,0.250215673,-3.45500118,177.3183204
Viscosity_std_204,rLine1000,1000,150,15,0.8639,0.860586297,-0.383574855,93.33333333
Viscosity_std_204,rLine1000,500,150,15,0.8639,0.425389959,-1.518703859,93.33333333
Viscosity_std_204,rLine1000,300,150,15,0.8639,0.25245963,-2.589177175,93.33333333
Viscosity_std_204,rLine1000,500,150,20,0.8639,0.427794197,-0.962102713,76.66666667
Viscosity_std_204,rLine1000,1000,150,20,0.8639,0.843232065,-2.392398992,76.66666667
Viscosity_std_204,rLine1000,300,150,20,0.8639,0.246121182,-5.034848878,76.66666667
Viscosity_std_204,rLine1000,1000,170,15,0.8639,0.850765346,-1.520390529,92.54901961
Viscosity_std_204,rLine1000,500,170,15,0.8639,0.425491957,-1.495090477,92.54901961
Viscosity_std_204,rLine1000,300,170,15,0.8639,0.253129902,-2.33055442,92.54901961
Viscosity_std_204,rLine1000,1000,170,18,0.8639,0.852033036,-1.373650227,81.4379085
Viscosity_std_204,rLine1000,500,170,18,0.8639,0.430926993,-0.236834553,81.4379085
Viscosity_std_204,rLine1000,300,170,18,0.8639,0.250740235,-3.252600763,81.4379085
Viscosity_std_204,rLine1000,1000,200,18,0.8639,0.834008531,-3.46006119,80.55555556
Viscosity_std_204,rLine1000,500,200,18,0.8639,0.426643077,-1.228596595,80.55555556
Viscosity_std_204,rLine1000,300,200,18,0.8639,0.246543745,-4.871804098,80.55555556
