liquid,pipette,volume,aspiration_rate,dispense_rate,density,m,%error,time_for_1000
Viscosity_std_505,rLine1000,1000,68.11997257,68.11997257,0.8683,0.73598845,-15.23799952,49.35996485
Viscosity_std_505,rLine1000,500,68.11997257,68.11997257,0.8683,0.375119514,-13.59679508,49.35996485
Viscosity_std_505,rLine1000,300,68.11997257,68.11997257,0.8683,0.235163682,-9.722568094,49.35996485
Viscosity_std_505,rLine1000,1000,85.14996571,85.14996571,0.8683,0.668378345,-23.02449096,43.48797188
Viscosity_std_505,rLine1000,500,85.14996571,85.14996571,0.8683,0.391716046,-9.774030538,43.48797188
Viscosity_std_505,rLine1000,300,85.14996571,85.14996571,0.8683,0.23946217,-8.07241366,43.48797188
Viscosity_std_505,rLine1000,1000,85.14996571,6.811997257,0.8683,0.861431423,-0.791037298,178.5438102
Viscosity_std_505,rLine1000,500,85.14996571,6.811997257,0.8683,0.428726751,-1.249164919,178.5438102
Viscosity_std_505,rLine1000,300,85.14996571,6.811997257,0.8683,0.254834726,-2.171013904,178.5438102
Viscosity_std_505,rLine1000,500,6.811997257,85.14996571,0.8683,0.429222169,-1.135052544,178.5438102
Viscosity_std_505,rLine1000,300,6.811997257,85.14996571,0.8683,0.251585361,-3.418418782,178.5438102
Viscosity_std_505,rLine1000,1000,6.811997257,85.14996571,0.8683,0.679160991,-21.78267982,178.5438102
Viscosity_std_505,rLine1000,1000,6.811997257,6.811997257,0.8683,0.848404821,-2.291279397,313.5996485
Viscosity_std_505,rLine1000,500,6.811997257,6.811997257,0.8683,0.431218416,-0.6752468,313.5996485
Viscosity_std_505,rLine1000,300,6.811997257,6.811997257,0.8683,0.257326391,-1.214483707,313.5996485
Viscosity_std_505,rLine1000,1000,50,5,0.8683,0.85934775,-1.031008909,240
Viscosity_std_505,rLine1000,500,50,5,0.8683,0.427284207,-1.581433303,240
Viscosity_std_505,rLine1000,300,50,5,0.8683,0.251395936,-3.491137452,240
Viscosity_std_505,rLine1000,1000,50,10,0.8683,0.824886996,-4.999770166,140
Viscosity_std_505,rLine1000,500,50,10,0.8683,0.42158689,-2.893725609,140
Viscosity_std_505,rLine1000,300,50,10,0.8683,0.247068306,-5.152479373,140
Viscosity_std_505,rLine1000,1000,60,5,0.8683,0.855763248,-1.443827204,236.6666667
Viscosity_std_505,rLine1000,500,60,5,0.8683,0.418454094,-3.615318565,236.6666667
Viscosity_std_505,rLine1000,300,60,5,0.8683,0.245596621,-5.717447502,236.6666667
Viscosity_std_505,rLine1000,1000,70,6,0.8683,0.863005107,-0.609799997,200.952381
Viscosity_std_505,rLine1000,500,70,6,0.8683,0.422708868,-2.635294643,200.952381
Viscosity_std_505,rLine1000,300,70,6,0.8683,0.247942575,-4.816854743,200.952381
Viscosity_std_505,rLine1000,1000,75,7,0.8683,0.866633321,-0.191947332,176.1904762
Viscosity_std_505,rLine1000,500,75,7,0.8683,0.420319201,-3.185719038,176.1904762
Viscosity_std_505,rLine1000,300,75,7,0.8683,0.253159044,-2.814294446,176.1904762
