liquid,pipette,volume,aspiration_rate,dispense_rate,density,m,%error,time_asp_1000,acq_value
Viscosity_std_1275,rLine1000,1000,28.91513406,28.91513406,0.8736,0.788633991,-9.725962567,89.16793109,
Viscosity_std_1275,rLine1000,500,28.91513406,28.91513406,0.8736,0.365575415,-16.30599467,89.16793109,
Viscosity_std_1275,rLine1000,300,28.91513406,28.91513406,0.8736,0.202553464,-22.71311677,89.16793109,
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",28.91513406,28.91513406,0.8736,0.788633991,-16.248358,89.16793109,
Viscosity_std_1275,rLine1000,1000,36.14391758,36.14391758,0.8736,0.612891431,-29.84301383,75.33434486,
Viscosity_std_1275,rLine1000,500,36.14391758,36.14391758,0.8736,0.369757333,-15.34859583,75.33434486,
Viscosity_std_1275,rLine1000,300,36.14391758,36.14391758,0.8736,0.200309508,-23.56932711,75.33434486,
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",36.14391758,36.14391758,0.8736,0.612891431,-22.92031226,75.33434486,
Viscosity_std_1275,rLine1000,1000,36.1439175,2.8915134,0.8736,0.761356811,-12.84835043,393.5068286,
Viscosity_std_1275,rLine1000,500,36.1439175,2.8915134,0.8736,0.360402659,-17.49023366,393.5068286,
Viscosity_std_1275,rLine1000,300,36.1439175,2.8915134,0.8736,0.205977682,-21.40656202,393.5068286,
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",36.1439175,2.8915134,0.8736,0.761356811,-17.24838204,393.5068286,
Viscosity_std_1275,rLine1000,1000,2.8915134,36.1439175,0.8736,0.746785667,-14.51629266,393.5068286,
Viscosity_std_1275,rLine1000,500,2.8915134,36.1439175,0.8736,0.383847629,-12.12279555,393.5068286,
Viscosity_std_1275,rLine1000,300,2.8915134,36.1439175,0.8736,0.23220574,-11.39890863,393.5068286,
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",2.8915134,36.1439175,0.8736,0.746785667,-12.67933228,393.5068286,
Viscosity_std_1275,rLine1000,1000,2.8915134,2.8915134,0.8736,0.838860722,-3.976565693,711.6793123,
Viscosity_std_1275,rLine1000,500,2.8915134,2.8915134,0.8736,0.42897446,-1.791561369,711.6793123,
Viscosity_std_1275,rLine1000,300,2.8915134,2.8915134,0.8736,0.253567036,-3.248230918,711.6793123,
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",2.8915134,2.8915134,0.8736,0.838860722,-3.00545266,711.6793123,
Viscosity_std_1275,rLine1000,1000,8.632525783,14.08564964,0.8736,0.84023041,-3.819779123,206.8351921,172.546455
Viscosity_std_1275,rLine1000,500,8.632525783,14.08564964,0.8736,0.401289288,-8.129741851,206.8351921,172.546455
Viscosity_std_1275,rLine1000,300,8.632525783,14.08564964,0.8736,0.231958031,-11.49342535,206.8351921,172.546455
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",8.632525783,14.08564964,0.8736,0.84023041,-7.814315442,206.8351921,172.546455
Viscosity_std_1275,rLine1000,1000,12.68011938,4.917904363,0.8736,0.833629682,-4.575356954,302.2022539,141.5992981
Viscosity_std_1275,rLine1000,500,12.68011938,4.917904363,0.8736,0.409784264,-6.184921208,302.2022539,141.5992981
Viscosity_std_1275,rLine1000,300,12.68011938,4.917904363,0.8736,0.231477183,-11.676899,302.2022539,141.5992981
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",12.68011938,4.917904363,0.8736,0.833629682,-7.479059053,302.2022539,141.5992981
Viscosity_std_1275,rLine1000,1000,3.960135978,12.16860838,0.8736,0.786142326,-10.01118069,354.6952473,90.76833767
Viscosity_std_1275,rLine1000,500,3.960135978,12.16860838,0.8736,0.425244247,-2.645547791,354.6952473,90.76833767
Viscosity_std_1275,rLine1000,300,3.960135978,12.16860838,0.8736,0.239564168,-8.591205868,354.6952473,90.76833767
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",3.960135978,12.16860838,0.8736,0.786142326,-7.082644783,354.6952473,90.76833767
Viscosity_std_1275,rLine1000,1000,4.095164343,6.424204714,0.8736,0.848929382,-2.82401761,419.8517353,34.58141855
Viscosity_std_1275,rLine1000,500,4.095164343,6.424204714,0.8736,0.419488646,-3.963222155,419.8517353,34.58141855
Viscosity_std_1275,rLine1000,300,4.095164343,6.424204714,0.8736,0.246543745,-5.928058104,419.8517353,34.58141855
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",4.095164343,6.424204714,0.8736,0.848929382,-4.238432623,419.8517353,34.58141855
Viscosity_std_1275,rLine1000,1000,3.867114971,4.755213442,0.8736,0.850619635,-2.630536311,488.8862109,34.09833164
Viscosity_std_1275,rLine1000,500,3.867114971,4.755213442,0.8736,0.41877466,-4.126680494,488.8862109,34.09833164
Viscosity_std_1275,rLine1000,300,3.867114971,4.755213442,0.8736,0.245596621,-6.289445588,488.8862109,34.09833164
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",3.867114971,4.755213442,0.8736,0.850619635,-4.348887464,488.8862109,34.09833164
