liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error,Transfer_Observation,Comment,iteration,time_asp_1000,acq_value
Viscosity_std_505,rLine1000,1000,68.11997257,68.11997257,FALSE,10,10,0,0.8683,92.6571126,0.73598845,-15.23799952,Incomplete Aspiration and Dispense,Blowout before,1,49.35996485,None
Viscosity_std_505,rLine1000,500,68.11997257,68.11997257,FALSE,10,10,0,0.8683,77.93833447,0.375119514,-13.59679508,Incomplete Aspiration and Dispense,Blowout before,1,49.35996485,None
Viscosity_std_505,rLine1000,300,68.11997257,68.11997257,FALSE,10,10,0,0.8683,72.09816003,0.235163682,-9.722568094,Incomplete Aspiration and Dispense,Blowout before,1,49.35996485,None
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",68.11997257,68.11997257,FALSE,10,10,0,0.8683,92.6571126,0.73598845,-12.85245423,Incomplete Aspiration and Dispense,Blowout before,1,49.35996485,None
Viscosity_std_505,rLine1000,1000,85.14996571,85.14996571,FALSE,10,10,0,0.8683,86.86231256,0.668378345,-23.02449096,Incomplete Aspiration and Dispense,Blowout before,2,43.48797188,None
Viscosity_std_505,rLine1000,500,85.14996571,85.14996571,FALSE,10,10,0,0.8683,75.15879679,0.391716046,-9.774030538,Incomplete Aspiration and Dispense,Blowout before,2,43.48797188,None
Viscosity_std_505,rLine1000,300,85.14996571,85.14996571,FALSE,10,10,0,0.8683,70.94598651,0.23946217,-8.07241366,Incomplete Aspiration and Dispense,Blowout before,2,43.48797188,None
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",85.14996571,85.14996571,FALSE,10,10,0,0.8683,86.86231256,0.668378345,-13.62364505,Incomplete Aspiration and Dispense,Blowout before,2,43.48797188,None
Viscosity_std_505,rLine1000,1000,85.14996571,6.811997257,FALSE,10,10,0,0.8683,222.4458227,0.861431423,-0.791037298,Complete Transfer,Blowout before,4,178.5438102,None
Viscosity_std_505,rLine1000,500,85.14996571,6.811997257,FALSE,10,10,0,0.8683,144.2089822,0.428726751,-1.249164919,Complete Transfer,Blowout before,4,178.5438102,None
Viscosity_std_505,rLine1000,300,85.14996571,6.811997257,FALSE,10,10,0,0.8683,110.9266782,0.254834726,-2.171013904,Complete Transfer,Blowout before,4,178.5438102,None
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",85.14996571,6.811997257,FALSE,10,10,0,0.8683,222.4458227,0.861431423,-1.403738707,Complete Transfer,Blowout before,4,178.5438102,None
Viscosity_std_505,rLine1000,500,6.811997257,85.14996571,FALSE,10,10,0,0.8683,142.7477963,0.429222169,-1.135052544,Incomplete Dispense,Blowout before,3,178.5438102,None
Viscosity_std_505,rLine1000,300,6.811997257,85.14996571,FALSE,10,10,0,0.8683,110.9701359,0.251585361,-3.418418782,Incomplete Dispense,Blowout before,3,178.5438102,None
Viscosity_std_505,rLine1000,1000,6.811997257,85.14996571,FALSE,10,10,0,0.8683,222.1100111,0.679160991,-21.78267982,Incomplete Dispense,Blowout before,3,178.5438102,None
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",6.811997257,85.14996571,FALSE,10,10,0,0.8683,142.7477963,0.429222169,-8.77871705,Incomplete Dispense,Blowout before,3,178.5438102,None
Viscosity_std_505,rLine1000,1000,6.811997257,6.811997257,FALSE,10,10,0,0.8683,358.5491135,0.848404821,-2.291279397,Complete Transfer,Blowout before,5,313.5996485,None
Viscosity_std_505,rLine1000,500,6.811997257,6.811997257,FALSE,10,10,0,0.8683,210.1811149,0.431218416,-0.6752468,Complete Transfer,Blowout before,5,313.5996485,None
Viscosity_std_505,rLine1000,300,6.811997257,6.811997257,FALSE,10,10,0,0.8683,151.6124706,0.257326391,-1.214483707,Complete Transfer,Blowout before,5,313.5996485,None
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",6.811997257,6.811997257,FALSE,10,10,0,0.8683,358.5491135,0.848404821,-1.393669968,Complete Transfer,Blowout before,5,313.5996485,None
Viscosity_std_505,rLine1000,1000,61.33495259,8.013843991,FALSE,10,10,0,0.8683,204.5064988,0.8480114,-2.336588722,Incomplete Aspiration,Blowout before,,161.0879787,127.7323656
Viscosity_std_505,rLine1000,300,61.33495259,8.013843991,FALSE,10,10,0,0.8683,105.6185262,0.247811435,-4.867198437,Complete Transfer,Blowout before,,161.0879787,127.7323656
Viscosity_std_505,rLine1000,500,61.33495259,8.013843991,FALSE,10,10,0,0.8683,134.8804572,0.42821676,-1.366633539,Complete Transfer,Blowout before,,161.0879787,127.7323656
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",61.33495259,8.013843991,FALSE,10,10,0,0.8683,204.5064988,0.8480114,-2.8568069,Incomplete Aspiration,Blowout before,,161.0879787,127.7323656
Viscosity_std_505,rLine1000,1000,79.89641863,28.18217667,FALSE,10,10,0,0.8683,111.4108896,0.834984798,-3.836830821,Complete Transfer,Blowout before,,67.99962517,60.5733374
Viscosity_std_505,rLine1000,500,79.89641863,28.18217667,FALSE,10,10,0,0.8683,87.28867483,0.403270963,-7.112527216,Incomplete Aspiration and Dispense,Blowout before,,67.99962517,60.5733374
Viscosity_std_505,rLine1000,300,79.89641863,28.18217667,FALSE,10,10,0,0.8683,78.12690997,0.239651595,-7.99969499,Incomplete Aspiration and Dispense,Blowout before,,67.99962517,60.5733374
Viscosity_std_505,rLine1000,"mean[300, 500, 1000]",79.89641863,28.18217667,FALSE,10,10,0,0.8683,111.4108896,0.834984798,-6.316351009,Complete Transfer,Blowout before,,67.99962517,60.5733374
Viscosity_std_505,rLine1000,1000,33.49425847,16.79036743,FALSE,10,10,0,0.8683,152.7953751,0.848069685,-2.329876229,Complete Transfer,Blowout before,,109.4138214,28.22060184
Viscosity_std_505,rLine1000,500,33.49425847,16.79036743,FALSE,10,10,0,0.8683,108.2121279,0.42056691,-3.12866285,Complete Transfer,Blowout before,,109.4138214,28.22060184
